name,screen_name,created_at,id,friends_count,followers_count
mary,AmandaJoy657728,2022-11-22 19:47:55+00:00,1595141908829028363,82,18
Sandra williams,Sandraw50503541,2022-11-05 08:16:58+00:00,1588807503273500672,248,51
Bevy’Gold,Rose_gold1133,2022-10-25 19:38:10+00:00,1584992653766262853,20,13
jenny,annabeloreg,2022-08-07 22:19:48+00:00,1556404566417182721,781,536
Nicole,muzik0101,2017-04-28 05:28:17+00:00,857828796556337153,1595,346
Charlotte,Charlot31755,2022-11-21 04:32:39+00:00,1594549188771053573,114,102
pietrikji,pietrikji1,2022-10-20 21:24:08+00:00,1583207379558080523,479,187
Alic,Jenny30699461,2022-10-04 17:57:28+00:00,1577357141090136064,638,82
Linda Smith,auroraroseline9,2022-01-09 17:44:48+00:00,1480234055312371714,4029,4155
Jaydenlavis,Jaydenlavis2,2020-11-20 16:33:49+00:00,1329825210078556162,248,41
Mitchell jim,pemma9336,2022-09-26 06:18:54+00:00,1574282174618009602,238,37
karin Schaufele,schaufele_karin,2022-10-12 13:41:49+00:00,1580191976879783936,427,173
Gabrielle,micheletfranc17,2021-10-02 16:34:48+00:00,1444339999881801742,1119,622
Linda Gordon,LindaGo20905976,2022-11-30 02:41:48+00:00,1597782850090196997,437,90
kendra Lust,KendralustPage,2012-07-16 02:15:16+00:00,636630565,13717,51904
Kosmasbabes,Kosmas52206261,2022-09-29 14:08:06+00:00,1575487471693230088,955,575
huanghuai,huanghu97429604,2022-06-17 22:55:21+00:00,1537931913339367426,3706,685
Lexi-may Pinsonneault,MayPinsonneault,2022-07-10 15:43:01+00:00,1546158040755408896,1805,29
Lila,dario1997zarate,2014-11-25 17:35:30+00:00,2892251465,1784,1136
Martina,TammyPe88124057,2022-11-14 15:53:28+00:00,1592183840340000768,490,325
Shania Twain,ShaniaT78227552,2022-11-13 05:36:11+00:00,1591666164081590272,494,79
Alison,patti19_20,2020-09-28 01:58:05+00:00,1310398277217669120,759,501
Daniella,Daniella18x7,2022-10-21 21:04:12+00:00,1583564764986294275,501,149
Jolene Bonnick,BonnickJolene,2021-05-04 09:06:31+00:00,1389506680174436359,2184,93
Jennifer,buckejennifer2,2022-11-20 17:02:25+00:00,1594375564500008962,99,29
eunice lopez,eunicesexy55,2022-09-26 20:25:02+00:00,1574495119943909406,498,444
Kathryn Sheats,SheatsKathryn,2022-06-25 22:35:31+00:00,1540826036161609729,2011,46
Daisy,Shemsa60393117,2021-07-13 17:41:15+00:00,1415003301872013324,1350,1220
Nicole,Coco37340889,2022-04-20 15:42:40+00:00,1516804533795848193,2677,648
Layla George,laylageorge465,2022-11-28 13:55:45+00:00,1597227576858222593,838,23
Shirley,YUKI83134157,2022-10-21 14:54:59+00:00,1583471888445341696,192,41
anna faith,annafai02686481,2022-10-16 18:48:56+00:00,1581718810016587778,719,125
